<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.POLY-3.21;60;20201106;160000;20694.0000000;20694.0000000;20694.0000000;20694.0000000;1
SPFB.POLY-3.21;60;20201109;140000;19999.0000000;19999.0000000;19999.0000000;19999.0000000;1
SPFB.POLY-3.21;60;20201109;150000;19900.0000000;19900.0000000;19900.0000000;19900.0000000;2
SPFB.POLY-3.21;60;20201201;180000;17110.0000000;17111.0000000;17110.0000000;17111.0000000;9
SPFB.POLY-3.21;60;20201202;160000;17000.0000000;17000.0000000;17000.0000000;17000.0000000;3
SPFB.POLY-3.21;60;20201203;130000;17001.0000000;17001.0000000;16950.0000000;16950.0000000;5
SPFB.POLY-3.21;60;20201203;140000;16800.0000000;16800.0000000;16800.0000000;16800.0000000;1
SPFB.POLY-3.21;60;20201208;200000;18808.0000000;18809.0000000;17197.0000000;17198.0000000;9
SPFB.POLY-3.21;60;20201208;220000;16806.0000000;16806.0000000;16806.0000000;16806.0000000;2
SPFB.POLY-3.21;60;20201208;230000;16906.0000000;16906.0000000;16906.0000000;16906.0000000;2
SPFB.POLY-3.21;60;20201209;120000;18964.0000000;18964.0000000;16709.0000000;16709.0000000;8
SPFB.POLY-3.21;60;20201209;150000;16855.0000000;16855.0000000;16855.0000000;16855.0000000;2
SPFB.POLY-3.21;60;20201209;170000;16710.0000000;18355.0000000;16700.0000000;18355.0000000;4
SPFB.POLY-3.21;60;20201209;180000;16800.0000000;16800.0000000;16800.0000000;16800.0000000;2
SPFB.POLY-3.21;60;20201209;190000;16700.0000000;16700.0000000;16700.0000000;16700.0000000;2
SPFB.POLY-3.21;60;20201210;220000;15001.0000000;15009.0000000;15001.0000000;15009.0000000;2
SPFB.POLY-3.21;60;20201211;130000;16589.0000000;16590.0000000;16589.0000000;16590.0000000;2
SPFB.POLY-3.21;60;20201211;140000;16650.0000000;16650.0000000;16650.0000000;16650.0000000;1
SPFB.POLY-3.21;60;20201211;160000;16530.0000000;16530.0000000;16530.0000000;16530.0000000;1
SPFB.POLY-3.21;60;20201211;170000;16510.0000000;16650.0000000;16510.0000000;16650.0000000;11
SPFB.POLY-3.21;60;20201214;120000;16387.0000000;16387.0000000;16309.0000000;16309.0000000;8
SPFB.POLY-3.21;60;20201214;140000;16200.0000000;16200.0000000;16200.0000000;16200.0000000;2
SPFB.POLY-3.21;60;20201214;150000;16149.0000000;16149.0000000;16149.0000000;16149.0000000;2
SPFB.POLY-3.21;60;20201216;130000;17819.0000000;17819.0000000;17819.0000000;17819.0000000;1
SPFB.POLY-3.21;60;20201216;150000;16650.0000000;16680.0000000;16366.0000000;16535.0000000;24
SPFB.POLY-3.21;60;20201216;160000;16620.0000000;16648.0000000;16481.0000000;16481.0000000;13
SPFB.POLY-3.21;60;20201216;170000;16620.0000000;16620.0000000;16620.0000000;16620.0000000;3
SPFB.POLY-3.21;60;20201216;190000;16406.0000000;16406.0000000;16405.0000000;16405.0000000;4
SPFB.POLY-3.21;60;20201216;230000;16500.0000000;16500.0000000;16500.0000000;16500.0000000;3
SPFB.POLY-3.21;60;20201217;110000;17000.0000000;17000.0000000;16799.0000000;16799.0000000;24
SPFB.POLY-3.21;60;20201217;120000;16800.0000000;17190.0000000;16800.0000000;17190.0000000;14
SPFB.POLY-3.21;60;20201217;130000;17050.0000000;17050.0000000;17050.0000000;17050.0000000;5
SPFB.POLY-3.21;60;20201217;140000;17001.0000000;17125.0000000;16997.0000000;17125.0000000;12
SPFB.POLY-3.21;60;20201217;150000;17230.0000000;17400.0000000;17230.0000000;17400.0000000;3
SPFB.POLY-3.21;60;20201217;160000;17250.0000000;17400.0000000;17250.0000000;17400.0000000;34
SPFB.POLY-3.21;60;20201217;170000;17201.0000000;17299.0000000;17100.0000000;17299.0000000;5
SPFB.POLY-3.21;60;20201217;180000;17345.0000000;17500.0000000;17345.0000000;17500.0000000;18
SPFB.POLY-3.21;60;20201217;190000;17350.0000000;17350.0000000;17350.0000000;17350.0000000;1
SPFB.POLY-3.21;60;20201218;110000;17125.0000000;17143.0000000;16907.0000000;17100.0000000;18
SPFB.POLY-3.21;60;20201218;140000;17150.0000000;17150.0000000;17150.0000000;17150.0000000;1
SPFB.POLY-3.21;60;20201218;160000;17150.0000000;17150.0000000;17150.0000000;17150.0000000;1
SPFB.POLY-3.21;60;20201221;110000;17499.0000000;17578.0000000;17499.0000000;17578.0000000;8
SPFB.POLY-3.21;60;20201221;120000;17578.0000000;17578.0000000;17578.0000000;17578.0000000;2
SPFB.POLY-3.21;60;20201221;130000;17548.0000000;18400.0000000;17351.0000000;17351.0000000;83
SPFB.POLY-3.21;60;20201221;140000;17250.0000000;17257.0000000;16950.0000000;17257.0000000;56
SPFB.POLY-3.21;60;20201221;150000;17113.0000000;17113.0000000;17112.0000000;17112.0000000;10
SPFB.POLY-3.21;60;20201221;170000;17000.0000000;17000.0000000;16900.0000000;16901.0000000;5
SPFB.POLY-3.21;60;20201221;180000;16901.0000000;16920.0000000;16900.0000000;16920.0000000;12
SPFB.POLY-3.21;60;20201222;000000;17179.0000000;17179.0000000;17179.0000000;17179.0000000;3
SPFB.POLY-3.21;60;20201222;120000;17100.0000000;17100.0000000;17100.0000000;17100.0000000;1
