;Open;Close;High;Low;Vol;Log_returns;Amihud;LHH;LIX;VAR;VAR_21;MACD;EMA_21;MA_21;F_Open;F_Close;F_High;F_Low;F_Vol;F_Log_returns;F_Amihud;F_LHH;F_LIX;F_VAR;F_VAR_21;F_MACD;F_EMA_21;F_MA_21;F_Open_pos;F_Open_con
2019-01-03;429.0;425.85;429.8;425.85;;-0.007369747340926658;1.7007471432546403e-08;121.5547709333967;8.216626558778346;0.0032180584712163617;;0.0;;;43578.0;43420.0;43688.0;42930.0;-0.2150722642807984;-0.0036322714019405566;1.995772225165533e-05;0.06539385455948037;5.116145898762996;0.004359397590167113;0.01311857925200233;-30.61553344620188;0.000856459539811949;-0.0012881767489072438;-0.038575597621233415;-0.022674687644609004
2019-01-04;427.2;430.4;439.0;430.4;0.06952764411273682;0.007462721201589417;1.0909802859521642e-08;194.8357775475867;7.912532828513003;0.0025908807863124716;;0.003500000000030923;0.005596649837579681;;43411.0;43717.0;43973.0;43318.0;0.6146427005699255;0.007024177259783215;9.450069575262053e-06;0.037639668408576715;5.39061077049055;0.002172053415923628;0.013036434327440678;-26.81116977093916;0.001406022329827561;-0.001274338085990645;0.09979780382219405;0.08522727272727271
2019-01-08;427.0;423.6;427.0;423.6;0.24399963272426772;-0.007994399501373373;1.107556366323697e-08;78.72356713145554;8.403456303626099;0.0037374474217639507;;-0.002608288557837568;-0.003955218247197911;;43684.0;43086.0;43684.0;42713.0;0.16481129513983173;-0.013783783979246067;1.3840667119574526e-05;0.05045800078225804;5.279574239387533;0.004760004187827296;0.012750032267561632;-25.159674453047046;-5.710222385779673e-05;-0.001962168939420028;0.023424273138390017;0.038612565445026226
2019-01-09;425.0;427.7;428.9;427.7;0.186314743192308;0.006332846308445994;1.09028751731615e-08;40.33923722534641;8.934137201169445;0.0029338744269328384;;-0.0004903076109030735;0.0007802314758222906;;43100.0;43474.0;43541.0;43100.0;-0.2731934731934732;0.008640061140972932;8.959023763791555e-06;0.03212683185277016;5.487667122422547;0.0028735512114492294;0.012279849631557803;-22.52641117118037;0.0007676777157112902;-0.00036210433714356505;0.037879126552537556;0.028145347616047145
2019-01-10;427.75;432.1;433.0;432.1;0.03189680202414036;0.01011813016558527;1.1883501253023034e-08;90.425806570972;9.077157220355456;0.003255016117891861;;0.006526656367384476;0.0029368664384905596;;43429.0;43869.0;43934.0;43014.0;0.32681205901218724;0.010080499574582902;8.921893055025611e-06;0.054564422808122945;5.295055428264185;0.0028470417067490007;0.011949887906717471;-19.047250244831957;0.001530720317755474;-0.0009789247827975966;0.088447328690622;0.07803881511746691
2019-01-11;432.0;434.6;435.3;434.6;0.14106841385963498;0.006000479578218254;6.763878012165332e-09;44.25922701038583;9.246118829198048;0.0033486992703341337;;0.014375529502046902;0.0031563944253423237;;43708.0;43807.0;44162.0;43675.0;0.09644670050761417;0.002262470256066962;7.0489977518181e-06;0.027374879990792984;5.610687597422533;0.002397064619190158;0.010640553168716621;-16.1376530343623;0.001258406091649844;-2.558153502552063e-05;0.05764942091290237;0.05514496873223429
2019-01-14;434.05;427.9;434.05;427.9;-0.17199119330691326;-0.014270211415045253;1.0394122350921197e-08;97.63854600086935;8.213629273897359;0.004326998182844111;;0.009591703433670773;-0.0006858276562485832;;43740.0;43150.0;43980.0;43105.0;0.09215167548500891;-0.013580597719185405;9.501798019528149e-06;0.050670319590739386;5.387928749278733;0.0024163001940572092;0.0106535404346899;-15.393711507087573;-0.00024001474793777788;0.0;0.09692589828292819;0.11045258620689657
2019-01-15;428.6;424.35;431.35;424.35;0.2172805050818758;-0.009965496623790315;1.1555337185784532e-08;88.35945622772037;8.239178936472847;0.004494332400846971;;0.000666984092219991;-0.0019188373648162393;;43193.0;42990.0;43748.0;42739.0;0.09204683084376253;-0.004710914575417391;1.8515437888328365e-05;0.05673001482280855;5.3626735439866655;0.004042690383687684;0.01041319144120607;-15.118203172460198;-0.0005548646893970277;6.673614641017345e-05;0.04097136003500923;0.05126961022157528
2019-01-16;424.45;421.0;426.9;421.0;0.07764842392956872;-0.008161379501595789;6.589108517048312e-09;56.46783462388439;8.342459952262342;0.0030644707237526;;-0.011193127950662074;-0.002711981270486774;;43041.0;42845.0;43264.0;42570.0;-0.3866913123844732;-0.0045641976632797565;1.4529893839153278e-05;0.06711662937744775;5.311417058400295;0.002248935766518782;0.010180311368758861;-15.203294695413206;-0.000809835961984251;0.0003837072347165904;0.04286889414124051;0.05076923076923068
2019-01-17;422.0;415.9;422.45;415.9;0.12374975676201605;-0.014560467287146217;6.435098900154221e-09;60.922199862671334;8.342447099179314;0.003280077174051978;;-0.02839334732965426;-0.003912670572255417;;42723.0;42164.0;42821.0;41982.0;0.255877034358047;-0.013170640512457865;1.4126085475478588e-05;0.06629931803540609;5.321003344288571;0.003093031819119718;0.010556048176825915;-17.098923819918127;-0.0021712857651534634;-0.000499183962075378;-0.00014666356192738483;0.012005856515373337
