;Open;Close;High;Low;Vol;Log_returns;Amihud;LHH;LIX;VAR;VAR_21;MACD;EMA_21;MA_21
2019-01-03;736.0;748.0;748.0;748.0;;0.016172859245600968;3.934903299349374e-07;130.43628361041965;inf;0.005708428305119703;;0.0;;
2019-01-04;746.9;747.2;756.4;747.2;-0.14746220102768848;0.0004015795516121301;4.382465552146818e-07;111.54508987391551;6.874605995006991;0.005661011712919894;;-0.0006153846154575149;-0.0005602240896359634;
2019-01-08;748.1;732.1;748.1;732.1;-0.10510796982048387;-0.021619542225762345;5.015396919045192e-07;133.22711304363463;6.577178023642981;0.006019747465639945;;-0.016665808463926624;-0.007570016460515139;
2019-01-09;730.0;739.7;739.7;739.7;0.10932503149530004;0.013200164451385277;5.256748916619727e-07;86.09578771542145;inf;0.004215303875416736;;-0.014796284041267427;-0.0008588236878894762;
2019-01-10;739.5;737.5;742.1;737.5;0.790449567031023;-0.0027081939368791552;1.8178547657135254e-07;45.93228762258306;7.419752697616368;0.0019916376952970483;;-0.016461232777487567;-0.001224361887736669;
2019-01-11;738.8;740.0;740.0;740.0;-0.07313190700397654;0.0016229378731305033;5.92589566927243e-07;38.08905333938512;inf;0.0030274352744391665;;-0.013808402255108376;-0.00010627938151219762;
2019-01-14;734.8;738.6;740.0;738.6;-0.4950682029044633;0.005158149077492347;2.6670739833582185e-07;61.04343930003446;7.607280424719465;0.0022323651656227556;;-0.013963901217721286;-0.0004283740840049788;
2019-01-15;740.4;734.6;743.6;734.6;0.5192999374478733;-0.007864447313775003;2.787557654904807e-07;69.51074996273053;6.978451091611403;0.0023381166912607963;;-0.020115650430511778;-0.0012391793455507338;
2019-01-16;738.8;730.0;738.8;730.0;0.032156795471115496;-0.011982714182647847;5.57236045671288e-07;73.27135834310577;6.999228541213232;0.004060762515549004;;-0.03178112125794996;-0.0019359998762138453;
2019-01-17;730.3;729.0;732.4;729.0;0.024830887363504806;-0.001781676617405914;2.4579378269786636e-07;64.04317867538086;7.422289170647745;0.0025302783012467267;;-0.041905733161911485;-0.0017316314352793238;
2019-01-18;726.0;725.0;736.7;725.0;0.041622743711584365;-0.0013783599701211457;4.1590822900947825e-07;84.89350102392129;6.900903158294051;0.004219506983517909;;-0.056121991968780094;-0.002158557658258564;
2019-01-21;727.0;721.9;727.0;721.9;-0.07561402825892338;-0.0070398523884041;3.3961462764921667e-07;52.98427354620043;7.2255112252932205;0.0027768311837404617;;-0.07217070147476079;-0.0023363547047867694;
2019-01-22;721.7;730.5;730.7;730.5;0.2903606137676644;0.012119691112526532;4.199336787858659e-07;58.194938150188804;8.747905682609892;0.004501042830777562;;-0.06891532277882106;-0.0004451795884375942;
2019-01-23;732.3;735.2;735.2;735.2;-0.08707087847539485;0.003952304974452758;2.915118120589959e-07;47.7582153130872;inf;0.0033287282829219;;-0.05725511597472632;0.0004170811296968502;
2019-01-24;731.0;726.6;734.3;726.6;0.19637686857927217;-0.0060373399626767466;2.1641023697693376e-07;48.65350047923457;7.1984251947632565;0.002619392803899157;;-0.06361164301893041;-0.0010482879993237715;
