<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.HYDR-6.21;60;20201203;160000;7300.0000000;8850.0000000;7300.0000000;8850.0000000;240
SPFB.HYDR-6.21;60;20201205;000000;7900.0000000;7900.0000000;7900.0000000;7900.0000000;1
SPFB.HYDR-6.21;60;20201209;150000;7879.0000000;7879.0000000;7879.0000000;7879.0000000;1
SPFB.HYDR-6.21;60;20201209;230000;7851.0000000;7851.0000000;7851.0000000;7851.0000000;1
SPFB.HYDR-6.21;60;20201211;110000;7851.0000000;7851.0000000;7851.0000000;7851.0000000;1
SPFB.HYDR-6.21;60;20201221;130000;7800.0000000;7800.0000000;7750.0000000;7750.0000000;4
SPFB.HYDR-6.21;60;20201221;140000;7741.0000000;7742.0000000;7741.0000000;7742.0000000;3
SPFB.HYDR-6.21;60;20201221;180000;7794.0000000;7794.0000000;7794.0000000;7794.0000000;1
SPFB.HYDR-6.21;60;20201223;190000;7972.0000000;7972.0000000;7972.0000000;7972.0000000;1
SPFB.HYDR-6.21;60;20201224;130000;7874.0000000;7874.0000000;7874.0000000;7874.0000000;10
SPFB.HYDR-6.21;60;20201228;140000;8005.0000000;8005.0000000;8005.0000000;8005.0000000;1
SPFB.HYDR-6.21;60;20201228;190000;8005.0000000;8005.0000000;8005.0000000;8005.0000000;1
SPFB.HYDR-6.21;60;20210105;140000;8057.0000000;8057.0000000;8057.0000000;8057.0000000;3
SPFB.HYDR-6.21;60;20210106;110000;8050.0000000;8050.0000000;8050.0000000;8050.0000000;5
SPFB.HYDR-6.21;60;20210107;000000;8015.0000000;8015.0000000;8015.0000000;8015.0000000;5
SPFB.HYDR-6.21;60;20210108;170000;8095.0000000;8095.0000000;8095.0000000;8095.0000000;47
SPFB.HYDR-6.21;60;20210111;110000;8196.0000000;8384.0000000;8196.0000000;8384.0000000;2
SPFB.HYDR-6.21;60;20210111;120000;8384.0000000;8384.0000000;8384.0000000;8384.0000000;9
SPFB.HYDR-6.21;60;20210111;150000;8379.0000000;8379.0000000;8379.0000000;8379.0000000;1
SPFB.HYDR-6.21;60;20210112;160000;8333.0000000;8350.0000000;8333.0000000;8350.0000000;7
SPFB.HYDR-6.21;60;20210112;170000;8333.0000000;8333.0000000;8328.0000000;8328.0000000;63
SPFB.HYDR-6.21;60;20210112;220000;8292.0000000;8292.0000000;8292.0000000;8292.0000000;5
SPFB.HYDR-6.21;60;20210113;000000;8300.0000000;8300.0000000;8300.0000000;8300.0000000;1
SPFB.HYDR-6.21;60;20210113;120000;8265.0000000;8265.0000000;8265.0000000;8265.0000000;1
SPFB.HYDR-6.21;60;20210113;200000;8160.0000000;8160.0000000;8160.0000000;8160.0000000;5
SPFB.HYDR-6.21;60;20210114;110000;8120.0000000;8120.0000000;8120.0000000;8120.0000000;1
SPFB.HYDR-6.21;60;20210114;140000;8196.0000000;8196.0000000;8196.0000000;8196.0000000;5
SPFB.HYDR-6.21;60;20210114;170000;8245.0000000;8245.0000000;8245.0000000;8245.0000000;5
