<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.ROSN-12.20;60;20191226;150000;47748.0000000;47748.0000000;43391.0000000;43391.0000000;2
SPFB.ROSN-12.20;60;20191226;160000;47744.0000000;47744.0000000;43430.0000000;43430.0000000;2
SPFB.ROSN-12.20;60;20200113;160000;48899.0000000;48899.0000000;48899.0000000;48899.0000000;2
SPFB.ROSN-12.20;60;20200114;190000;50644.0000000;50644.0000000;50644.0000000;50644.0000000;1
SPFB.ROSN-12.20;60;20200117;160000;50197.0000000;50197.0000000;50197.0000000;50197.0000000;2
SPFB.ROSN-12.20;60;20200208;000000;43832.0000000;48100.0000000;43832.0000000;48100.0000000;3
SPFB.ROSN-12.20;60;20200210;110000;48225.0000000;48225.0000000;48225.0000000;48225.0000000;1
SPFB.ROSN-12.20;60;20200211;200000;42901.0000000;48000.0000000;42901.0000000;48000.0000000;2
SPFB.ROSN-12.20;60;20200218;200000;43000.0000000;43000.0000000;43000.0000000;43000.0000000;2
SPFB.ROSN-12.20;60;20200219;130000;46900.0000000;46900.0000000;46900.0000000;46900.0000000;1
SPFB.ROSN-12.20;60;20200219;160000;47500.0000000;47500.0000000;47500.0000000;47500.0000000;1
SPFB.ROSN-12.20;60;20200225;110000;46200.0000000;46200.0000000;46200.0000000;46200.0000000;8
SPFB.ROSN-12.20;60;20200225;180000;45756.0000000;45756.0000000;45200.0000000;45200.0000000;3
SPFB.ROSN-12.20;60;20200228;110000;41419.0000000;41419.0000000;41419.0000000;41419.0000000;1
SPFB.ROSN-12.20;60;20200302;180000;42200.0000000;42200.0000000;42200.0000000;42200.0000000;1
SPFB.ROSN-12.20;60;20200303;160000;42843.0000000;42843.0000000;42843.0000000;42843.0000000;1
SPFB.ROSN-12.20;60;20200310;130000;34000.0000000;34000.0000000;34000.0000000;34000.0000000;1
SPFB.ROSN-12.20;60;20200310;140000;34600.0000000;34600.0000000;34600.0000000;34600.0000000;1
SPFB.ROSN-12.20;60;20200310;160000;37136.0000000;37136.0000000;37136.0000000;37136.0000000;1
SPFB.ROSN-12.20;60;20200310;190000;34000.0000000;34000.0000000;34000.0000000;34000.0000000;1
SPFB.ROSN-12.20;60;20200311;120000;30757.0000000;30757.0000000;30757.0000000;30757.0000000;1
SPFB.ROSN-12.20;60;20200311;230000;30800.0000000;30800.0000000;30800.0000000;30800.0000000;1
SPFB.ROSN-12.20;60;20200312;160000;30853.0000000;30853.0000000;30853.0000000;30853.0000000;1
SPFB.ROSN-12.20;60;20200312;200000;28049.0000000;28049.0000000;28049.0000000;28049.0000000;1
SPFB.ROSN-12.20;60;20200312;210000;31917.0000000;31917.0000000;31917.0000000;31917.0000000;3
SPFB.ROSN-12.20;60;20200313;160000;28000.0000000;28000.0000000;28000.0000000;28000.0000000;1
SPFB.ROSN-12.20;60;20200314;000000;28000.0000000;28000.0000000;28000.0000000;28000.0000000;1
SPFB.ROSN-12.20;60;20200316;110000;24034.0000000;24034.0000000;24033.0000000;24033.0000000;3
SPFB.ROSN-12.20;60;20200316;150000;24701.0000000;26966.0000000;24701.0000000;26966.0000000;3
SPFB.ROSN-12.20;60;20200317;220000;21884.0000000;28133.0000000;21808.0000000;28133.0000000;4
SPFB.ROSN-12.20;60;20200318;150000;25257.0000000;25257.0000000;25257.0000000;25257.0000000;1
SPFB.ROSN-12.20;60;20200320;200000;24826.0000000;24826.0000000;24826.0000000;24826.0000000;1
SPFB.ROSN-12.20;60;20200320;220000;29358.0000000;29358.0000000;29358.0000000;29358.0000000;1
SPFB.ROSN-12.20;60;20200323;220000;23387.0000000;23387.0000000;23387.0000000;23387.0000000;1
SPFB.ROSN-12.20;60;20200324;110000;26000.0000000;26000.0000000;26000.0000000;26000.0000000;1
SPFB.ROSN-12.20;60;20200327;190000;28635.0000000;28635.0000000;28635.0000000;28635.0000000;1
SPFB.ROSN-12.20;60;20200330;210000;29990.0000000;29990.0000000;29990.0000000;29990.0000000;5
SPFB.ROSN-12.20;60;20200401;230000;30000.0000000;30000.0000000;30000.0000000;30000.0000000;1
SPFB.ROSN-12.20;60;20200402;110000;32200.0000000;32200.0000000;32200.0000000;32200.0000000;5
SPFB.ROSN-12.20;60;20200407;110000;36049.0000000;36049.0000000;36049.0000000;36049.0000000;1
SPFB.ROSN-12.20;60;20200416;160000;28611.0000000;28611.0000000;28611.0000000;28611.0000000;1
SPFB.ROSN-12.20;60;20200417;180000;28590.0000000;32463.0000000;28590.0000000;32463.0000000;2
SPFB.ROSN-12.20;60;20200423;150000;32000.0000000;32000.0000000;32000.0000000;32000.0000000;1
SPFB.ROSN-12.20;60;20200423;160000;33959.0000000;33959.0000000;33959.0000000;33959.0000000;1
SPFB.ROSN-12.20;60;20200504;230000;30300.0000000;30300.0000000;30300.0000000;30300.0000000;1
SPFB.ROSN-12.20;60;20200513;110000;35000.0000000;35000.0000000;35000.0000000;35000.0000000;1
SPFB.ROSN-12.20;60;20200518;200000;37990.0000000;37990.0000000;37990.0000000;37990.0000000;5
SPFB.ROSN-12.20;60;20200521;170000;36971.0000000;36971.0000000;36971.0000000;36971.0000000;1
SPFB.ROSN-12.20;60;20200603;110000;36800.0000000;36800.0000000;36800.0000000;36800.0000000;6
SPFB.ROSN-12.20;60;20200603;180000;37698.0000000;37698.0000000;37698.0000000;37698.0000000;1
SPFB.ROSN-12.20;60;20200603;200000;37601.0000000;37601.0000000;35740.0000000;35740.0000000;5
SPFB.ROSN-12.20;60;20200615;160000;36256.0000000;36256.0000000;36256.0000000;36256.0000000;1
SPFB.ROSN-12.20;60;20200615;200000;38467.0000000;38467.0000000;38467.0000000;38467.0000000;2
SPFB.ROSN-12.20;60;20200616;120000;37914.0000000;37914.0000000;37914.0000000;37914.0000000;1
SPFB.ROSN-12.20;60;20200618;110000;38954.0000000;38954.0000000;38954.0000000;38954.0000000;1
SPFB.ROSN-12.20;60;20200618;220000;38189.0000000;38189.0000000;38189.0000000;38189.0000000;1
SPFB.ROSN-12.20;60;20200625;160000;37001.0000000;37001.0000000;37001.0000000;37001.0000000;1
SPFB.ROSN-12.20;60;20200630;160000;36550.0000000;36550.0000000;36428.0000000;36428.0000000;4
SPFB.ROSN-12.20;60;20200713;220000;35900.0000000;35900.0000000;35900.0000000;35900.0000000;1
SPFB.ROSN-12.20;60;20200714;170000;34984.0000000;34984.0000000;34984.0000000;34984.0000000;8
SPFB.ROSN-12.20;60;20200716;190000;36179.0000000;36380.0000000;36179.0000000;36380.0000000;20
SPFB.ROSN-12.20;60;20200720;190000;36390.0000000;36390.0000000;36390.0000000;36390.0000000;2
SPFB.ROSN-12.20;60;20200721;110000;36390.0000000;36390.0000000;36390.0000000;36390.0000000;8
SPFB.ROSN-12.20;60;20200721;120000;36559.0000000;36559.0000000;36280.0000000;36280.0000000;8
SPFB.ROSN-12.20;60;20200721;130000;36700.0000000;36700.0000000;36700.0000000;36700.0000000;5
SPFB.ROSN-12.20;60;20200722;200000;36232.0000000;36232.0000000;36232.0000000;36232.0000000;1
SPFB.ROSN-12.20;60;20200724;110000;36125.0000000;36135.0000000;36125.0000000;36135.0000000;9
SPFB.ROSN-12.20;60;20200727;110000;36137.0000000;36137.0000000;36137.0000000;36137.0000000;4
SPFB.ROSN-12.20;60;20200727;190000;35444.0000000;35444.0000000;35444.0000000;35444.0000000;1
SPFB.ROSN-12.20;60;20200727;220000;36015.0000000;36015.0000000;36015.0000000;36015.0000000;1
SPFB.ROSN-12.20;60;20200804;130000;35747.0000000;35747.0000000;35747.0000000;35747.0000000;1
SPFB.ROSN-12.20;60;20200805;130000;36224.0000000;36224.0000000;35815.0000000;35815.0000000;2
SPFB.ROSN-12.20;60;20200805;140000;36207.0000000;36208.0000000;36207.0000000;36207.0000000;5
SPFB.ROSN-12.20;60;20200811;120000;37464.0000000;37464.0000000;37464.0000000;37464.0000000;1
SPFB.ROSN-12.20;60;20200812;170000;37700.0000000;37912.0000000;37700.0000000;37912.0000000;6
SPFB.ROSN-12.20;60;20200813;120000;38472.0000000;38472.0000000;38167.0000000;38167.0000000;2
SPFB.ROSN-12.20;60;20200813;140000;38912.0000000;38912.0000000;38912.0000000;38912.0000000;1
SPFB.ROSN-12.20;60;20200813;150000;38912.0000000;38912.0000000;38912.0000000;38912.0000000;1
SPFB.ROSN-12.20;60;20200813;160000;38771.0000000;39032.0000000;38771.0000000;39032.0000000;10
SPFB.ROSN-12.20;60;20200813;200000;39286.0000000;39286.0000000;39286.0000000;39286.0000000;2
SPFB.ROSN-12.20;60;20200814;110000;39232.0000000;39232.0000000;39232.0000000;39232.0000000;1
SPFB.ROSN-12.20;60;20200814;160000;39143.0000000;39143.0000000;39143.0000000;39143.0000000;1
SPFB.ROSN-12.20;60;20200814;170000;38904.0000000;38904.0000000;38855.0000000;38855.0000000;7
SPFB.ROSN-12.20;60;20200817;110000;39572.0000000;39572.0000000;39572.0000000;39572.0000000;10
SPFB.ROSN-12.20;60;20200817;130000;39450.0000000;39450.0000000;39450.0000000;39450.0000000;2
SPFB.ROSN-12.20;60;20200817;150000;39590.0000000;39590.0000000;39317.0000000;39317.0000000;3
SPFB.ROSN-12.20;60;20200817;160000;39064.0000000;39064.0000000;39064.0000000;39064.0000000;1
SPFB.ROSN-12.20;60;20200817;170000;39080.0000000;39080.0000000;39080.0000000;39080.0000000;2
SPFB.ROSN-12.20;60;20200817;180000;39053.0000000;39200.0000000;39053.0000000;39200.0000000;2
SPFB.ROSN-12.20;60;20200817;190000;39140.0000000;39140.0000000;39140.0000000;39140.0000000;4
SPFB.ROSN-12.20;60;20200817;200000;39090.0000000;39090.0000000;39090.0000000;39090.0000000;6
SPFB.ROSN-12.20;60;20200817;230000;39092.0000000;39092.0000000;39092.0000000;39092.0000000;1
SPFB.ROSN-12.20;60;20200818;110000;39092.0000000;39569.0000000;39092.0000000;39569.0000000;2
SPFB.ROSN-12.20;60;20200818;120000;39662.0000000;39662.0000000;39456.0000000;39456.0000000;2
SPFB.ROSN-12.20;60;20200818;140000;39450.0000000;39450.0000000;39450.0000000;39450.0000000;10
SPFB.ROSN-12.20;60;20200818;170000;39445.0000000;39471.0000000;39330.0000000;39330.0000000;30
SPFB.ROSN-12.20;60;20200818;210000;39375.0000000;39375.0000000;39375.0000000;39375.0000000;1
SPFB.ROSN-12.20;60;20200818;230000;39377.0000000;39377.0000000;39377.0000000;39377.0000000;1
SPFB.ROSN-12.20;60;20200819;140000;39377.0000000;39377.0000000;39377.0000000;39377.0000000;14
SPFB.ROSN-12.20;60;20200819;170000;39377.0000000;39377.0000000;39377.0000000;39377.0000000;4
SPFB.ROSN-12.20;60;20200820;110000;38903.0000000;38903.0000000;38900.0000000;38900.0000000;2
SPFB.ROSN-12.20;60;20200820;120000;38600.0000000;38600.0000000;38600.0000000;38600.0000000;1
SPFB.ROSN-12.20;60;20200820;160000;38535.0000000;38535.0000000;38535.0000000;38535.0000000;4
SPFB.ROSN-12.20;60;20200821;230000;38470.0000000;38470.0000000;37900.0000000;38327.0000000;30
SPFB.ROSN-12.20;60;20200824;110000;38733.0000000;38733.0000000;38733.0000000;38733.0000000;1
SPFB.ROSN-12.20;60;20200824;120000;38800.0000000;38800.0000000;38800.0000000;38800.0000000;2
SPFB.ROSN-12.20;60;20200824;130000;38760.0000000;38917.0000000;38760.0000000;38917.0000000;2
SPFB.ROSN-12.20;60;20200824;170000;38948.0000000;38948.0000000;38915.0000000;38915.0000000;2
SPFB.ROSN-12.20;60;20200824;190000;38949.0000000;38950.0000000;38949.0000000;38950.0000000;10
SPFB.ROSN-12.20;60;20200825;160000;39142.0000000;39142.0000000;39092.0000000;39092.0000000;8
SPFB.ROSN-12.20;60;20200825;170000;39250.0000000;39250.0000000;39250.0000000;39250.0000000;1
SPFB.ROSN-12.20;60;20200825;180000;39313.0000000;39313.0000000;39313.0000000;39313.0000000;1
SPFB.ROSN-12.20;60;20200826;110000;39499.0000000;39499.0000000;39413.0000000;39413.0000000;2
SPFB.ROSN-12.20;60;20200826;120000;39211.0000000;39211.0000000;39211.0000000;39211.0000000;1
SPFB.ROSN-12.20;60;20200826;180000;39660.0000000;39993.0000000;39660.0000000;39993.0000000;9
SPFB.ROSN-12.20;60;20200827;120000;39276.0000000;39276.0000000;39276.0000000;39276.0000000;1
SPFB.ROSN-12.20;60;20200827;130000;39390.0000000;39390.0000000;39390.0000000;39390.0000000;1
SPFB.ROSN-12.20;60;20200827;170000;39200.0000000;39200.0000000;39159.0000000;39159.0000000;2
SPFB.ROSN-12.20;60;20200827;180000;39087.0000000;39087.0000000;39087.0000000;39087.0000000;1
