<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.ROSN-9.19;60;20190109;120000;45099.0000000;48000.0000000;45099.0000000;48000.0000000;15
SPFB.ROSN-9.19;60;20190114;110000;43084.0000000;43084.0000000;43083.0000000;43083.0000000;4
SPFB.ROSN-9.19;60;20190114;130000;45172.0000000;45173.0000000;45172.0000000;45172.0000000;4
SPFB.ROSN-9.19;60;20190115;150000;42652.0000000;42652.0000000;42651.0000000;42651.0000000;4
SPFB.ROSN-9.19;60;20190115;200000;42301.0000000;42301.0000000;42062.0000000;42062.0000000;4
SPFB.ROSN-9.19;60;20190116;150000;42453.0000000;42453.0000000;41949.0000000;41949.0000000;4
SPFB.ROSN-9.19;60;20190117;150000;41613.0000000;41613.0000000;41613.0000000;41613.0000000;3
SPFB.ROSN-9.19;60;20190125;150000;42978.0000000;42978.0000000;42978.0000000;42978.0000000;1
SPFB.ROSN-9.19;60;20190125;170000;42979.0000000;42979.0000000;42979.0000000;42979.0000000;1
SPFB.ROSN-9.19;60;20190208;160000;41900.0000000;41900.0000000;41900.0000000;41900.0000000;1
SPFB.ROSN-9.19;60;20190214;120000;39900.0000000;39900.0000000;39900.0000000;39900.0000000;1
SPFB.ROSN-9.19;60;20190318;120000;41597.0000000;41598.0000000;41597.0000000;41598.0000000;15
SPFB.ROSN-9.19;60;20190322;120000;40633.0000000;40633.0000000;40630.0000000;40630.0000000;15
SPFB.ROSN-9.19;60;20190322;130000;39822.0000000;39822.0000000;39821.0000000;39821.0000000;3
SPFB.ROSN-9.19;60;20190322;140000;40591.0000000;40795.0000000;40591.0000000;40795.0000000;17
SPFB.ROSN-9.19;60;20190322;160000;41619.0000000;41619.0000000;41619.0000000;41619.0000000;3
SPFB.ROSN-9.19;60;20190325;170000;41034.0000000;41034.0000000;41034.0000000;41034.0000000;1
SPFB.ROSN-9.19;60;20190328;160000;40278.0000000;40278.0000000;40278.0000000;40278.0000000;1
SPFB.ROSN-9.19;60;20190401;120000;41997.0000000;41997.0000000;41997.0000000;41997.0000000;1
SPFB.ROSN-9.19;60;20190401;130000;42100.0000000;42100.0000000;42100.0000000;42100.0000000;1
SPFB.ROSN-9.19;60;20190401;220000;42734.0000000;42734.0000000;42734.0000000;42734.0000000;1
SPFB.ROSN-9.19;60;20190402;190000;42072.0000000;42072.0000000;41150.0000000;41150.0000000;20
