<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.MTSI-3.19;60;20180920;180000;25694.0000000;28000.0000000;25656.0000000;28000.0000000;25
SPFB.MTSI-3.19;60;20180921;110000;27972.0000000;27972.0000000;27972.0000000;27972.0000000;1
SPFB.MTSI-3.19;60;20180921;140000;27946.0000000;28000.0000000;27946.0000000;28000.0000000;11
SPFB.MTSI-3.19;60;20180921;160000;27889.0000000;27991.0000000;27212.0000000;27226.0000000;45
SPFB.MTSI-3.19;60;20180924;110000;27304.0000000;27305.0000000;27304.0000000;27305.0000000;11
SPFB.MTSI-3.19;60;20180926;110000;27161.0000000;27181.0000000;27161.0000000;27181.0000000;2
SPFB.MTSI-3.19;60;20180926;140000;27202.0000000;27202.0000000;27184.0000000;27186.0000000;7
SPFB.MTSI-3.19;60;20181018;120000;27500.0000000;27500.0000000;27500.0000000;27500.0000000;15
SPFB.MTSI-3.19;60;20181018;130000;27500.0000000;27500.0000000;27500.0000000;27500.0000000;3
SPFB.MTSI-3.19;60;20181018;140000;27499.0000000;27499.0000000;27499.0000000;27499.0000000;1
SPFB.MTSI-3.19;60;20181018;150000;27500.0000000;27500.0000000;27500.0000000;27500.0000000;12
SPFB.MTSI-3.19;60;20181018;200000;27200.0000000;27200.0000000;27200.0000000;27200.0000000;1
SPFB.MTSI-3.19;60;20181019;110000;27500.0000000;27500.0000000;27500.0000000;27500.0000000;1
SPFB.MTSI-3.19;60;20181022;170000;27200.0000000;27200.0000000;27200.0000000;27200.0000000;15
SPFB.MTSI-3.19;60;20181022;180000;27200.0000000;27200.0000000;27200.0000000;27200.0000000;16
SPFB.MTSI-3.19;60;20181023;210000;26875.0000000;26876.0000000;26875.0000000;26876.0000000;2
SPFB.MTSI-3.19;60;20181024;110000;26875.0000000;26875.0000000;26875.0000000;26875.0000000;1
SPFB.MTSI-3.19;60;20181029;180000;26398.0000000;26398.0000000;26398.0000000;26398.0000000;1
SPFB.MTSI-3.19;60;20181101;000000;26099.0000000;26110.0000000;26099.0000000;26109.0000000;5
SPFB.MTSI-3.19;60;20181102;170000;26500.0000000;26500.0000000;26500.0000000;26500.0000000;1
SPFB.MTSI-3.19;60;20181102;180000;26800.0000000;26800.0000000;26800.0000000;26800.0000000;1
SPFB.MTSI-3.19;60;20181107;180000;27100.0000000;27200.0000000;27100.0000000;27200.0000000;11
SPFB.MTSI-3.19;60;20181107;190000;27500.0000000;27500.0000000;27500.0000000;27500.0000000;7
SPFB.MTSI-3.19;60;20181112;170000;27100.0000000;27100.0000000;27100.0000000;27100.0000000;1
SPFB.MTSI-3.19;60;20181112;180000;27100.0000000;27100.0000000;27100.0000000;27100.0000000;2
SPFB.MTSI-3.19;60;20181114;160000;27199.0000000;27200.0000000;27199.0000000;27200.0000000;2
SPFB.MTSI-3.19;60;20181120;160000;26755.0000000;26755.0000000;25600.0000000;25720.0000000;26
SPFB.MTSI-3.19;60;20181120;170000;25658.0000000;25658.0000000;25546.0000000;25576.0000000;4
SPFB.MTSI-3.19;60;20181120;180000;25748.0000000;25748.0000000;25748.0000000;25748.0000000;2
SPFB.MTSI-3.19;60;20181120;190000;25740.0000000;25740.0000000;25740.0000000;25740.0000000;2
SPFB.MTSI-3.19;60;20181122;160000;26057.0000000;26057.0000000;26057.0000000;26057.0000000;1
SPFB.MTSI-3.19;60;20181122;180000;25986.0000000;25986.0000000;25986.0000000;25986.0000000;1
SPFB.MTSI-3.19;60;20181123;180000;25500.0000000;25500.0000000;25500.0000000;25500.0000000;3
SPFB.MTSI-3.19;60;20181123;190000;25531.0000000;25531.0000000;25531.0000000;25531.0000000;1
SPFB.MTSI-3.19;60;20181126;110000;25526.0000000;25526.0000000;25526.0000000;25526.0000000;2
SPFB.MTSI-3.19;60;20181126;140000;25484.0000000;25557.0000000;25484.0000000;25554.0000000;38
SPFB.MTSI-3.19;60;20181126;180000;25209.0000000;25209.0000000;25209.0000000;25209.0000000;3
SPFB.MTSI-3.19;60;20181126;190000;25148.0000000;25148.0000000;25148.0000000;25148.0000000;2
SPFB.MTSI-3.19;60;20181127;180000;25297.0000000;25297.0000000;25297.0000000;25297.0000000;4
SPFB.MTSI-3.19;60;20181128;110000;25775.0000000;25775.0000000;25775.0000000;25775.0000000;2
SPFB.MTSI-3.19;60;20181128;120000;25064.0000000;25064.0000000;23200.0000000;25000.0000000;18
SPFB.MTSI-3.19;60;20181128;130000;25464.0000000;25464.0000000;25464.0000000;25464.0000000;3
SPFB.MTSI-3.19;60;20181128;160000;25565.0000000;25568.0000000;25565.0000000;25568.0000000;6
SPFB.MTSI-3.19;60;20181128;170000;25574.0000000;25578.0000000;25568.0000000;25577.0000000;13
SPFB.MTSI-3.19;60;20181129;130000;25023.0000000;25023.0000000;25023.0000000;25023.0000000;1
SPFB.MTSI-3.19;60;20181130;110000;25570.0000000;25698.0000000;25570.0000000;25698.0000000;3
SPFB.MTSI-3.19;60;20181130;120000;25698.0000000;25698.0000000;25600.0000000;25600.0000000;3
SPFB.MTSI-3.19;60;20181130;130000;25598.0000000;25598.0000000;25598.0000000;25598.0000000;1
SPFB.MTSI-3.19;60;20181130;160000;25598.0000000;25598.0000000;25598.0000000;25598.0000000;1
SPFB.MTSI-3.19;60;20181130;170000;25598.0000000;25598.0000000;25598.0000000;25598.0000000;1
SPFB.MTSI-3.19;60;20181204;130000;25753.0000000;25753.0000000;25753.0000000;25753.0000000;5
SPFB.MTSI-3.19;60;20181206;130000;25200.0000000;25200.0000000;25000.0000000;25000.0000000;28
SPFB.MTSI-3.19;60;20181206;160000;24950.0000000;24950.0000000;24850.0000000;24850.0000000;6
SPFB.MTSI-3.19;60;20181206;190000;24800.0000000;24800.0000000;24800.0000000;24800.0000000;1
SPFB.MTSI-3.19;60;20181206;210000;24500.0000000;24500.0000000;24490.0000000;24490.0000000;8
SPFB.MTSI-3.19;60;20181206;230000;24679.0000000;25498.0000000;24679.0000000;25498.0000000;22
SPFB.MTSI-3.19;60;20181207;000000;24749.0000000;24750.0000000;24749.0000000;24750.0000000;4
SPFB.MTSI-3.19;60;20181207;110000;24750.0000000;24750.0000000;24600.0000000;24600.0000000;17
SPFB.MTSI-3.19;60;20181207;120000;24750.0000000;24750.0000000;24750.0000000;24750.0000000;80
SPFB.MTSI-3.19;60;20181207;130000;24750.0000000;24750.0000000;24750.0000000;24750.0000000;1
SPFB.MTSI-3.19;60;20181207;180000;24450.0000000;24450.0000000;24000.0000000;24399.0000000;79
SPFB.MTSI-3.19;60;20181207;190000;24100.0000000;24399.0000000;24100.0000000;24399.0000000;2
SPFB.MTSI-3.19;60;20181210;120000;24002.0000000;24023.0000000;23900.0000000;23900.0000000;308
SPFB.MTSI-3.19;60;20181210;130000;23891.0000000;23891.0000000;23688.0000000;23688.0000000;158
SPFB.MTSI-3.19;60;20181210;140000;23600.0000000;23600.0000000;23600.0000000;23600.0000000;1
SPFB.MTSI-3.19;60;20181210;160000;23615.0000000;23615.0000000;23615.0000000;23615.0000000;100
SPFB.MTSI-3.19;60;20181210;170000;23922.0000000;23922.0000000;23769.0000000;23769.0000000;16
SPFB.MTSI-3.19;60;20181210;180000;23700.0000000;23700.0000000;23575.0000000;23575.0000000;71
SPFB.MTSI-3.19;60;20181210;190000;23502.0000000;23502.0000000;23362.0000000;23362.0000000;56
SPFB.MTSI-3.19;60;20181210;200000;23039.0000000;23050.0000000;23038.0000000;23050.0000000;11
SPFB.MTSI-3.19;60;20181210;210000;23050.0000000;23050.0000000;23036.0000000;23036.0000000;4
SPFB.MTSI-3.19;60;20181211;150000;23389.0000000;23389.0000000;23358.0000000;23358.0000000;19
SPFB.MTSI-3.19;60;20181211;160000;23389.0000000;23419.0000000;23389.0000000;23419.0000000;23
