;Open;Close;High;Low;Vol;Log_returns;Amihud;LHH;LIX;VAR;VAR_21;MACD;EMA_21;MA_21;F_Open;F_Close;F_High;F_Low;F_Vol;F_Log_returns;F_Amihud;F_LHH;F_LIX;F_VAR;F_VAR_21;F_MACD;F_EMA_21;F_MA_21;F_Open_pos;F_Open_con
2019-01-03;240.85;240.5;241.5;240.5;;-0.0014542435304143453;5.844169452873384e-08;0.00823459265534313;8.351764091020293;0.005512149524009341;;0.0;;;24479.0;24251.0;24479.0;23921.0;5.069767441860465;-0.009357753489885212;0.0002457062676488461;0.38377475281422035;4.054735960020536;0.0060342760720135434;0.02087117628933111;-24.059158760243008;0.00032254671656994915;-0.001530549530723957;0.05032981125754166;0.041727316836487116
2019-01-04;240.4;248.6;248.6;248.6;1.2140694377574492;0.03354097641555853;4.5901530465093296e-08;0.007400126090136853;inf;0.007840324450391723;;0.0062307692307967955;0.017641817641817603;;24330.0;25255.0;25437.0;24200.0;1.5708812260536398;0.03731399912458322;7.765602203584382e-05;0.3153785518099297;4.13670019338824;0.0071787172155508595;0.02267646128497835;-19.673274098793627;0.004125620070004832;-0.0006810663553219465;-0.0035599564385793148;-0.03586399627387049
2019-01-08;248.75;250.05;253.0;250.05;-0.06677362301752221;0.005212521826210903;1.8794701397181708e-08;0.004491067405883935;8.2140320956588;0.006270701858837492;;0.009601608237034043;0.007926986688749693;;25300.0;25643.0;25676.0;25020.0;0.7436661698956781;0.0134662341546683;0.00010464449111073369;0.09461258343752349;4.660250854731709;0.005830583641949589;0.022914273471515863;-14.804446568330604;0.005197550498899028;-0.00021856663997510406;0.031113005967831953;0.019806763285024065
2019-01-09;252.7;252.0;253.35;252.0;0.20704743164871586;-0.0027739268827247088;1.6286496791835427e-08;0.0029668157547518984;8.63861836133316;0.003469139000386196;;0.013410997897040033;0.0061815832713050245;;25585.0;25460.0;25587.0;25124.0;-0.16495726495726493;-0.004897649127794779;7.087882717517274e-05;0.0813725232977492;4.730171972018456;0.0038825342729421376;0.02260373639045755;-11.041693308034155;0.003997728663538869;0.001411056722492754;0.022559127478089414;0.021790620558976848
2019-01-10;251.15;256.0;256.0;256.0;-0.0067694815641020645;0.01912707428350835;1.6458611952029623e-08;0.004813433748880091;inf;0.00451740562265642;;0.020682936774051086;0.007528724119702401;;25212.0;25622.0;25800.0;25190.0;-0.5056294779938588;0.016131285783378857;0.00014139738813180263;0.22260632854899043;4.307230322596048;0.0034078162416175395;0.022642223089828675;-7.337746514014725;0.004219168420455555;0.00242717001502335;0.047852733330219444;0.029207232267037586
2019-01-11;255.0;252.8;255.4;252.8;-0.42840359871634837;-0.008664882885723202;2.1961096144745164e-08;0.004379077263020136;8.109494851947106;0.0032974369381761058;;0.02051648460852107;0.002273244114568973;;25631.0;25560.0;25649.0;25403.0;-0.5010351966873706;-0.002773926882726485;6.633942624498324e-05;0.17993562037221403;4.398642784957852;0.0022590858730469517;0.020519927872203653;-4.294974542975979;0.003579644285618633;0.004997010504808941;-0.0010023524437449138;0.008558558558558582
2019-01-14;251.6;252.35;253.65;252.35;-0.13333837086292877;0.0029764879599856187;2.1735699438668805e-08;0.0036601542324441387;8.347600655962752;0.0019270015361236136;;0.01953842815763096;0.0012702408193316916;;25431.0;25430.0;25540.0;25339.0;0.07883817427385886;-3.932286034924459e-05;7.764688966764379e-05;0.1368040144866381;4.517123650726038;0.0012981464289116562;0.01912020975783308;-2.0152850816266437;0.002752970374155117;0.005377975123417533;-0.0019200184712500068;0.0013398838767306742
2019-01-15;252.65;252.45;254.75;252.45;-0.1238774478176714;-0.0007919224329926422;1.3893997411180477e-08;0.005131532230204757;8.042553097822386;0.0018682850380039072;;0.018829383413731193;0.0010094160407081443;;25469.0;25360.0;25600.0;25322.0;0.13076923076923075;-0.004288896774855999;0.00011272434016547143;0.16587388450364746;4.4284517837037765;0.0019871470941652406;0.017485503229337132;-0.24172224173526047;0.0022320771843920006;0.0032526314964456127;-0.009132739552969893;-0.009366636931311345
2019-01-16;252.45;254.75;255.2;254.75;0.3812073323647076;0.009069462797909544;1.1168801280094258e-08;0.004296613253787539;8.895266112918332;0.002409126839376943;;0.021832582551240876;0.002220191103209368;;25383.0;25667.0;25725.0;25336.0;-0.12585034013605445;0.011126461503756957;0.0001208060290891835;0.2680017913330442;4.229358632609858;0.002529391820977886;0.017473510036699006;2.09800264104706;0.003154898370077097;0.004226430424049132;0.016739334889756208;0.009905447996398031
2019-01-17;255.5;255.25;256.3;255.25;0.9991065767479395;-0.000978952598984506;6.966576902210095e-09;0.0013519051619033402;8.828976833629081;0.0021836586321392305;;0.02473221916650914;0.002042339483238287;;25682.0;25840.0;25840.0;25598.0;0.9922178988326849;0.006133321505318534;8.627386545268573e-05;0.08552792210328931;4.737747104318446;0.0026856247754000026;0.017485159502729497;4.551833848741808;0.003491141688970467;0.004163911470691284;0.040050719210319;0.03254569772625948
