<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.AFLT-3.19;60;20180912;150000;10699.0000000;10699.0000000;10699.0000000;10699.0000000;1
SPFB.AFLT-3.19;60;20180913;150000;11238.0000000;11238.0000000;11238.0000000;11238.0000000;2
SPFB.AFLT-3.19;60;20180913;160000;11238.0000000;11238.0000000;11238.0000000;11238.0000000;28
SPFB.AFLT-3.19;60;20180919;110000;10969.0000000;10969.0000000;10943.0000000;10943.0000000;4
SPFB.AFLT-3.19;60;20180919;120000;11121.0000000;11500.0000000;11121.0000000;11500.0000000;4
SPFB.AFLT-3.19;60;20180919;150000;11372.0000000;11372.0000000;11372.0000000;11372.0000000;1
SPFB.AFLT-3.19;60;20180919;170000;11550.0000000;11550.0000000;11550.0000000;11550.0000000;2
SPFB.AFLT-3.19;60;20180920;130000;11536.0000000;11536.0000000;11536.0000000;11536.0000000;1
SPFB.AFLT-3.19;60;20181005;110000;10870.0000000;10870.0000000;10870.0000000;10870.0000000;10
SPFB.AFLT-3.19;60;20181008;110000;10693.0000000;10693.0000000;10600.0000000;10600.0000000;16
SPFB.AFLT-3.19;60;20181009;110000;10617.0000000;10687.0000000;10617.0000000;10687.0000000;2
SPFB.AFLT-3.19;60;20181010;120000;10617.0000000;10667.0000000;10617.0000000;10667.0000000;2
SPFB.AFLT-3.19;60;20181010;130000;10767.0000000;10767.0000000;10767.0000000;10767.0000000;1
SPFB.AFLT-3.19;60;20181011;110000;10400.0000000;10400.0000000;10400.0000000;10400.0000000;10
SPFB.AFLT-3.19;60;20181011;200000;10648.0000000;10648.0000000;10423.0000000;10423.0000000;2
SPFB.AFLT-3.19;60;20181012;120000;10617.0000000;10647.0000000;10617.0000000;10647.0000000;4
SPFB.AFLT-3.19;60;20181012;170000;10593.0000000;10593.0000000;10411.0000000;10418.0000000;4
SPFB.AFLT-3.19;60;20181015;160000;10400.0000000;10400.0000000;10400.0000000;10400.0000000;6
SPFB.AFLT-3.19;60;20181015;170000;10400.0000000;10400.0000000;10400.0000000;10400.0000000;4
