;Open;Close;High;Low;Vol;Log_returns;Amihud;LHH;LIX;VAR;VAR_21;MACD;EMA_21;MA_21
2019-01-03;1916.5;1859.5;1917.0;1859.5;;-0.030192971455484496;3.0326835290940056e-07;77.89288598888578;6.6790147308859344;0.006092108903879551;;0.0;;
2019-01-04;1862.5;1916.0;1924.0;1916.0;0.27156865400763874;0.028320008277090913;1.480782500177971e-07;62.60333497964273;7.65293172402354;0.006008628421366652;;0.04346153846177003;0.015915696743876273;
2019-01-08;1934.0;1926.5;1953.0;1926.5;-0.3921712733663525;-0.0038855119470273536;1.3789663882402186e-07;55.26387784039569;6.918930567134362;0.0019249455313404605;;0.0673796055280036;0.007238197314909156;
2019-01-09;1936.5;1960.0;1970.0;1960.0;0.1699610976763748;0.01206225326975563;1.0985184649609957e-07;49.62631447983408;7.417834920358661;0.0013971282472793442;;0.11822282393836758;0.008626063984158217;
2019-01-10;1971.0;1985.0;1985.5;1985.0;0.05484909758106782;0.0070778859685702855;1.6192688543125867e-07;39.430177693562875;8.747559691441394;0.003095017580873038;;0.17853316477908265;0.00822440542137537;
2019-01-11;1983.0;1983.0;1997.0;1983.0;-0.2784514461783123;0.0;2.662817407585032e-07;41.710061249080454;7.158229423787102;0.003232261397383657;;0.21160869895061296;0.00518160935621248;
2019-01-14;1985.0;1992.5;1997.0;1992.5;0.055759448210718876;0.0037712175430799633;3.9595266374225774e-07;54.88787877889387;7.676785538258757;0.004597339078100349;;0.24578300419784682;0.0045610214511888625;
2019-01-15;1993.5;1999.5;2009.5;1999.5;0.7788164026095061;0.003005261465463427;1.1286966219462519e-07;27.310971248066696;7.581652255895295;0.001919683549633742;;0.278409204650643;0.003980099617862054;
2019-01-16;1995.0;1980.0;2006.0;1980.0;-0.06051858100143026;-0.007547205635383136;1.1510802681912431e-07;29.121727074206667;7.135310884790384;0.0018094361083413858;;0.26867217436370083;0.001477415178134045;
2019-01-17;1979.5;1993.5;2006.0;1993.5;-0.1382531397086707;0.0070476002752242195;2.66787409888815e-07;54.06893923775626;7.39170497925422;0.00747439929638066;;0.281564713818625;0.002181101361806048;
2019-01-18;2025.0;2044.5;2059.5;2044.5;0.7892509302701829;0.009583560264057489;1.593740724728487e-07;24.85310127800911;7.576165859783651;0.003876128735421906;;0.3759858915395853;0.00537995836717009;
2019-01-21;2048.5;2044.5;2049.5;2044.5;-0.8234906902388565;-0.001954557182228811;1.559080080207554e-07;33.970399833942835;7.3000547311465;0.0009357855049653942;;0.4466110774731078;0.004386971477578161;
2019-01-22;2039.5;2051.0;2077.0;2051.0;1.8396582107290684;0.005622799314767057;2.5531627296728994e-07;84.30882087098398;7.038696003273673;0.007576381532338089;;0.5107588999544532;0.004049129114166661;
2019-01-23;2040.0;2060.0;2075.5;2060.0;0.3703610163009359;0.009756174945365181;1.4339017675857716e-07;37.30755300223405;7.402074208503689;0.002734606140464199;;0.5749044551344014;0.0039473688333886425;
2019-01-24;2057.0;2083.0;2098.0;2083.0;0.14537718660811128;0.012560551608014059;3.2376646836041754e-07;38.321720819988705;7.480085225870412;0.006866889027858418;;0.6657834446309607;0.004709892716364905;
2019-01-25;2099.5;2152.0;2172.5;2152.0;0.2802486276745404;0.024698421157427042;8.043502699822041e-08;46.974954417541724;7.465869939894229;0.0054435524302131316;;0.8670463699477295;0.007994685099881771;
2019-01-28;2169.5;2167.0;2188.5;2167.0;0.09147059668476554;-0.0011530037020461847;9.950850406843651e-08;35.56775623466395;7.486214026028404;0.004197571999964544;;1.0550702055813872;0.007674400197279274;
2019-01-29;2166.0;2152.0;2184.0;2152.0;-0.4849347248177296;-0.006484506279260671;1.9688364275715426e-07;34.35033728668598;7.02234813477682;0.0033314907310497497;;1.1731491378768624;0.005791744530244669;
2019-01-30;2145.0;2157.0;2172.5;2157.0;-0.16554988470210985;0.005578815027038608;1.0461223257297598e-07;46.567211463279136;7.259574672038608;0.001707849898788874;;1.2735904438482066;0.005284189076532053;
2019-01-31;2181.0;2212.0;2214.5;2212.0;1.0190761976208336;0.01411359644059651;8.495426329628777e-08;21.359865252293577;8.36805404809572;0.003285663122738632;;1.4622174479891328;0.007443482998740869;
2019-02-01;2199.6;2197.2;2215.0;2197.2;-0.35787079162875346;-0.0010917031651942466;2.538838678915412e-07;48.145646878801976;7.320280947186163;0.004296168482130546;0.012095398963727863;1.5796275376123958;0.0057496653442259404;
2019-02-04;2195.0;2212.0;2215.0;2212.0;-0.5053256813565727;0.007715037132953739;2.7979517591772523e-07;38.71592046372218;7.790814591312232;0.0024255747128643056;0.009157827822053212;1.6997953157560914;0.00577632412346718;0.008213777242361164
2019-02-05;2215.6;2250.8;2262.0;2250.8;1.6534816547707143;0.015762461400175454;1.9152095362765777e-07;33.535489706625576;7.65008569662907;0.0037507434613382384;0.007969550412846369;1.8739972901048532;0.006967447453432696;0.007737784331218078
2019-02-06;2261.0;2244.0;2261.6;2244.0;-0.4123806867763614;-0.007547205635383136;3.017065984464924e-07;44.57735536781288;7.221573058852209;0.003934078287552447;0.008222030481842899;1.9946474941816632;0.005816715143090123;0.007281609063596317
2019-02-07;2230.0;2192.2;2231.4;2192.2;0.06590832542331371;-0.017095979672541617;1.765489224266397e-07;58.12043444587354;6.89137683481433;0.0023339970731881196;0.009409965896112803;1.9704112095464552;0.002714409732526013;0.005286825058913314
2019-02-08;2185.0;2163.4;2185.0;2163.4;-0.048037286528876955;-0.00993477033350132;1.8567791573854239e-07;53.40122431260596;7.1230857408888495;0.0032835952971095985;0.00985121868988586;1.8744898108552661;0.0010782169401850616;0.0040405230031232975
2019-02-11;2173.8;2196.0;2223.0;2196.0;0.25812292070580956;0.010160735500334361;2.207432911774854e-07;51.32982578507929;7.132394312763973;0.006672584985267295;0.009937287391890743;1.8568115147536446;0.0024596796415827793;0.004804753322160016
2019-02-12;2206.0;2230.0;2241.8;2230.0;0.0628638928363705;0.010820664640717403;2.095740292317792e-07;37.786803167799974;7.525026250521508;0.0034760189629452535;0.010060035933972465;1.9093499095852167;0.0037420708518931534;0.00533179478314727
2019-02-13;2233.0;2258.0;2258.2;2258.0;1.1757504640155254;0.011133492869449313;1.6339054509664344e-07;23.9887902950817;9.638906421519847;0.006000126738355573;0.010176281874471223;2.0080227170833496;0.004601525506900073;0.005772460117548395
2019-02-14;2229.0;2264.0;2269.6;2264.0;-0.12827387357487163;0.015580105937204713;1.4552189158936396e-07;27.573358036624462;8.133280937486003;0.004974192825246469;0.010073147301385903;2.094557425840776;0.004378058329356005;0.00630549221693566
2019-02-15;2289.8;2200.2;2335.0;2200.2;2.2169894942236077;-0.039916212184376576;1.0895560284243794e-07;28.52241785487599;7.2468144527424405;0.013286506348154984;0.014109867210064032;2.0056578009348414;0.00110394388382562;0.004560487687565784
2019-02-18;2137.6;2161.0;2174.4;2161.0;-0.37514227411124335;0.010887373164559122;1.0541809360720964e-07;14.48731113838055;8.037373297027582;0.007257000041996739;0.014142036620792577;1.8255645186941365;-0.0007258758007766541;0.0025587075122772696
2019-02-19;2169.8;2126.6;2179.8;2126.6;-0.14975703158293485;-0.02011053717136413;1.3481154254881775e-07;25.07784933074183;7.361140554721784;0.008092263124268813;0.015007561576819387;1.579589157058308;-0.00215596829166409;0.0017985729714571352
2019-02-20;2161.6;2166.2;2187.4;2166.2;-0.5154724756831262;0.002125792195702303;9.434451621281846e-08;23.09065035847732;7.454047520885944;0.0025758438023317405;0.01498976832920291;1.457767873697776;-0.00022186120835487877;0.002519167100377473
2019-02-21;2166.4;2115.0;2176.0;2115.0;-0.2026974605797206;-0.024011991237578023;1.8865945109094901e-07;50.16471438364936;6.886288514346627;0.005035830646308915;0.015927818212847236;1.2206776916705167;-0.002423438134953826;0.0011997050906757956
2019-02-22;2108.0;2133.0;2139.0;2133.0;0.12728796226636097;0.01178980881009739;1.5252362517933457e-07;33.075686489688366;7.949182452128912;0.004231570492427238;0.015899880555210157;1.0564094748333446;-0.0014120773282658705;0.001089334111844309
2019-02-25;2182.0;2214.6;2235.0;2214.6;0.5617546916461524;0.01482991287099189;4.8946454302359825e-08;22.8967265839151;7.627620794494727;0.003670980790174958;0.015286657850909971;1.1134694252104964;0.002256983613640795;0.001362362240367565
2019-02-26;2195.0;2169.6;2204.8;2169.6;-0.6510525817487673;-0.011639227763195592;2.478884089947214e-07;51.67937644480424;6.924552664519971;0.004536897347073214;0.01550111590927559;1.0433112974615142;9.602781298756469e-05;5.650675255686188e-05
2019-02-27;2177.8;2163.0;2189.8;2163.0;0.15604719547697798;-0.006819045958902592;2.2286838731998137e-07;32.42671133616135;7.104612945683825;0.003260201700509774;0.015507906768219788;0.9610797138820999;-0.0001968685931829084;0.0002390535219101153
2019-02-28;2164.0;2208.0;2214.0;2208.0;0.09077127035376065;0.02012876743061387;3.475246613433038e-07;66.39579576551704;7.801272729555887;0.005103298213642195;0.01610045555282004;0.9998139328163234;0.0017521813527883179;0.0011080741670976835
2019-03-01;2235.6;2247.4;2270.0;2247.4;0.9096063596554993;0.005264344078259597;6.952783096238711e-08;19.446041414933717;7.513940700616136;0.0032075568083511524;0.015835219220154025;1.1279824694415765;0.003266965441528047;0.0007682825196193566
2019-03-04;2260.2;2303.6;2319.6;2303.6;-0.3783125338790525;0.019019811706466605;1.5492397127556154e-07;45.829333451139064;7.468227962056373;0.006260215176391705;0.016370940668997983;1.375565545331483;0.005338090416355801;0.0023074153911546436
2019-03-05;2290.6;2340.2;2340.2;2340.2;-0.1292359389848442;0.02142260382124217;2.1355235731851991e-07;60.114538577852315;inf;0.005966992503850629;0.01692177121204193;1.6739839836354804;0.0063551132818517875;0.002773775060257
2019-03-06;2358.0;2362.0;2404.0;2362.0;0.3343327914132863;0.0016949156599910253;1.1243021324204857e-07;34.35712105074609;7.125136132869897;0.005541962515437995;0.01660510994297616;1.9762973454044186;0.00663556045712399;0.0023993026487265645
2019-03-07;2363.0;2329.2;2382.0;2329.2;-0.440114673580809;-0.014407137223942712;3.6869392266738625e-07;81.16156934909837;6.767777474464468;0.0060353048801947305;0.01684425164705466;2.1380937248873124;0.004612113204207846;0.001833914503422296
